,Date,HomeTeam,AwayTeam,RunsHome,RunsAway,Inn,Win,Loss,Save,Time,Attendance
29,"Tuesday, May 4",MIA,ARI,9.0,3.0,9.0,Bleier,Ginkel,None,3:17,3898.0
30,"Wednesday, May 5",MIA,ARI,8.0,0.0,9.0,Holloway,Weaver,None,2:57,3573.0
31,"Thursday, May 6",MIA,ARI,3.0,1.0,9.0,Floro,Bukauskas,Garcia,2:44,4049.0
32,"Friday, May 7",MIA,MIL,6.0,1.0,9.0,Rogers,Suter,None,2:59,5507.0
33,"Saturday, May 8",MIA,MIL,2.0,6.0,9.0,Houser,Castano,None,3:02,5764.0
34,"Sunday, May 9",MIA,MIL,1.0,2.0,10.0,Hader,Bass,Rasmussen,3:15,5105.0
45,"Friday, May 21",MIA,NYM,5.0,6.0,12.0,Smith,Cimber,Barnes,4:38,7282.0
46,"Saturday, May 22",MIA,NYM,3.0,1.0,9.0,Garcia,Smith,None,3:02,7513.0
47,"Sunday, May 23",MIA,NYM,5.0,1.0,9.0,Poteet,Yamamoto,None,2:37,7945.0
48,"Monday, May 24",MIA,PHI,9.0,6.0,9.0,Cimber,Eflin,Floro,3:23,4527.0
49,"Tuesday, May 25",MIA,PHI,0.0,2.0,9.0,Velasquez,Alcantara,Neris,2:49,4864.0
50,"Wednesday, May 26",MIA,PHI,4.0,2.0,9.0,Detwiler,Coonrod,Garcia,3:29,4760.0
51,"Thursday, May 27",MIA,PHI,2.0,3.0,9.0,Alvarado,Garcia,Neris,3:11,4932.0
61,"Tuesday, Jun 8",MIA,COL,6.0,2.0,9.0,Lopez,Senzatela,None,2:45,4863.0
62,"Wednesday, Jun 9",MIA,COL,3.0,4.0,9.0,Gomber,Garrett,Bard,3:53,4563.0
63,"Thursday, Jun 10",MIA,COL,11.0,4.0,9.0,Rogers,Gonzalez,None,3:03,4965.0
64,"Friday, Jun 11",MIA,ATL,4.0,3.0,9.0,Alcantara,Morton,Garcia,3:23,6595.0
65,"Saturday, Jun 12",MIA,ATL,4.0,2.0,9.0,Thompson,Fried,Floro,2:47,8158.0
66,"Sunday, Jun 13",MIA,ATL,4.0,6.0,9.0,Smyly,Lopez,Smith,3:45,8448.0
73,"Tuesday, Jun 22",MIA,TOR,1.0,2.0,9.0,Mayza,Garcia,Romano,2:34,6291.0
74,"Wednesday, Jun 23",MIA,TOR,1.0,3.0,9.0,Ray,Rogers,Romano,3:18,6164.0
75,"Thursday, Jun 24",MIA,WSN,3.0,7.0,9.0,Ross,Poteet,None,3:14,5255.0
76,"Friday, Jun 25",MIA,WSN,11.0,2.0,9.0,Lopez,Lester,None,3:21,4749.0
77,"Saturday, Jun 26",MIA,WSN,3.0,2.0,9.0,Thompson,Corbin,Garcia,2:44,6305.0
78,"Sunday, Jun 27",MIA,WSN,1.0,5.0,9.0,Scherzer,Alcantara,None,3:06,7349.0
84,"Monday, Jul 5",MIA,LAD,5.0,4.0,9.0,Hess,Gonzalez,Bender,3:48,15290.0
85,"Tuesday, Jul 6",MIA,LAD,2.0,1.0,10.0,Hess,Treinen,None,4:34,7993.0
86,"Wednesday, Jul 7",MIA,LAD,9.0,6.0,9.0,Bender,Uceta,None,3:46,9523.0
87,"Thursday, Jul 8",MIA,LAD,1.0,6.0,9.0,Urias,Alcantara,None,3:05,12031.0
88,"Friday, Jul 9",MIA,ATL,0.0,5.0,9.0,Morton,Bass,None,3:01,7446.0
89,"Saturday, Jul 10",MIA,ATL,4.0,5.0,9.0,Fried,Rogers,Smith,3:37,12178.0
90,"Sunday, Jul 11",MIA,ATL,7.0,4.0,9.0,Lopez,Anderson,None,3:05,9456.0
98,"Thursday, Jul 22",MIA,SDP,2.0,3.0,9.0,Snell,Holloway,Melancon,3:58,10977.0
99,"Friday, Jul 23",MIA,SDP,2.0,5.0,9.0,Musgrove,Thompson,Melancon,3:25,9264.0
100,"Saturday, Jul 24",MIA,SDP,3.0,2.0,9.0,Garrett,Hill,Garcia,2:58,13207.0
101,"Sunday, Jul 25",MIA,SDP,9.0,3.0,9.0,Bender,Darvish,None,3:04,12765.0
104,"Friday, Jul 30",MIA,NYY,1.0,3.0,9.0,Taillon,Thompson,Chapman,3:17,18462.0
105,"Saturday, Jul 31",MIA,NYY,2.0,4.0,9.0,Luetge,Hess,Loaisiga,3:25,25767.0
106,"Sunday, Aug 1",MIA,NYY,1.0,3.0,9.0,Rodriguez,Bass,Chapman,3:04,20758.0
107,"Monday, Aug 2",MIA,NYM,6.0,3.0,9.0,Luzardo,Megill,Floro,3:11,8771.0
108,"Tuesday, Aug 3",MIA,NYM,5.0,4.0,9.0,Neidert,Walker,Floro,2:43,7682.0
109,"Wednesday, Aug 4",MIA,NYM,3.0,5.0,9.0,Castro,Bass,May,3:33,9760.0
110,"Thursday, Aug 5",MIA,NYM,4.0,2.0,9.0,Detwiler,Familia,Bender,3:38,9745.0
117,"Friday, Aug 13",MIA,CHC,14.0,10.0,9.0,Luzardo,Alzolay,None,4:14,11728.0
118,"Saturday, Aug 14",MIA,CHC,5.0,4.0,9.0,Floro,Heuer,Bender,3:03,11225.0
119,"Sunday, Aug 15",MIA,CHC,4.0,1.0,9.0,Campbell,Mills,Floro,3:21,10262.0
120,"Monday, Aug 16",MIA,ATL,2.0,12.0,9.0,Toussaint,Garrett,None,3:28,6442.0
121,"Tuesday, Aug 17",MIA,ATL,0.0,2.0,9.0,Martin,Alcantara,Smith,2:33,6079.0
122,"Wednesday, Aug 18",MIA,ATL,9.0,11.0,9.0,Morton,Luzardo,None,3:49,6871.0
127,"Tuesday, Aug 24",MIA,WSN,1.0,5.0,9.0,Fedde,Luzardo,None,3:16,5394.0
128,"Wednesday, Aug 25",MIA,WSN,4.0,3.0,10.0,Floro,Finnegan,None,3:22,6237.0
129,"Thursday, Aug 26",MIA,WSN,7.0,5.0,9.0,Hernandez,Corbin,Floro,3:25,5447.0
130,"Friday, Aug 27",MIA,CIN,0.0,6.0,9.0,Miley,Thompson,None,2:28,7119.0
131,"Saturday, Aug 28",MIA,CIN,6.0,1.0,9.0,Alcantara,Gutiérrez,None,3:00,10407.0
132,"Sunday, Aug 29",MIA,CIN,2.0,1.0,9.0,Luzardo,Mahle,Floro,2:36,11019.0
135,"Friday, Sep 3",MIA,PHI,10.0,3.0,9.0,Okert,Gibson,None,3:08,7073.0
136,"Saturday, Sep 4",MIA,PHI,3.0,2.0,9.0,Bass,Bradley,Floro,3:06,9256.0
137,"Sunday, Sep 5",MIA,PHI,3.0,4.0,10.0,Kennedy,Floro,None,3:40,8082.0
138,"Tuesday, Sep 7",MIA,NYM,4.0,9.0,9.0,Carrasco,Campbell,None,3:59,5848.0
139,"Wednesday, Sep 8",MIA,NYM,2.0,1.0,10.0,Bender,Diaz,None,3:06,6378.0
140,"Thursday, Sep 9",MIA,NYM,3.0,2.0,9.0,Bleier,Familia,Floro,2:59,8075.0
147,"Friday, Sep 17",MIA,PIT,1.0,2.0,9.0,Crowe,Hernandez,Stratton,3:04,7884.0
148,"Saturday, Sep 18",MIA,PIT,3.0,6.0,9.0,Wilson,Cabrera,None,3:30,12300.0
149,"Sunday, Sep 19",MIA,PIT,6.0,5.0,10.0,Okert,Kuhl,None,3:36,9870.0
150,"Monday, Sep 20",MIA,WSN,8.0,7.0,10.0,Floro,Clay,None,3:55,5383.0
151,"Tuesday, Sep 21",MIA,WSN,1.0,7.0,9.0,Rogers,Rogers,None,3:02,5926.0
152,"Wednesday, Sep 22",MIA,WSN,5.0,7.0,9.0,Gray,Hernandez,Rainey,3:17,5908.0
160,"Friday, Oct 1",MIA,PHI,,,,,,,,
161,"Saturday, Oct 2",MIA,PHI,,,,,,,,
162,"Sunday, Oct 3",MIA,PHI,,,,,,,,
1,"Thursday, Apr 1",MIL,MIN,6.0,5.0,10.0,Hader,Dobnak,None,4:14,11740.0
2,"Saturday, Apr 3",MIL,MIN,0.0,2.0,9.0,Berrios,Burnes,Colome,2:46,11383.0
3,"Sunday, Apr 4",MIL,MIN,2.0,8.0,9.0,Pineda,Houser,None,3:29,10666.0
10,"Monday, Apr 12",MIL,CHC,6.0,3.0,9.0,Peralta,Alzolay,Hader,3:04,11209.0
11,"Tuesday, Apr 13",MIL,CHC,2.0,3.0,9.0,Strop,Suter,Kimbrel,3:07,11025.0
12,"Wednesday, Apr 14",MIL,CHC,7.0,0.0,9.0,Burnes,Arrieta,None,3:06,10598.0
13,"Friday, Apr 16",MIL,PIT,1.0,6.0,9.0,Brubaker,Houser,None,3:09,11967.0
14,"Saturday, Apr 17",MIL,PIT,7.0,1.0,9.0,Anderson,Cahill,None,2:42,12038.0
15,"Sunday, Apr 18",MIL,PIT,5.0,6.0,10.0,Rodriguez,Feyereisen,None,3:47,11772.0
22,"Monday, Apr 26",MIL,MIA,0.0,8.0,9.0,Rogers,Burnes,None,3:20,10749.0
23,"Tuesday, Apr 27",MIL,MIA,5.0,4.0,9.0,Houser,Curtiss,Hader,3:15,10620.0
24,"Wednesday, Apr 28",MIL,MIA,2.0,6.0,9.0,Alcantara,Godley,None,3:04,11564.0
25,"Thursday, Apr 29",MIL,LAD,2.0,1.0,9.0,Lauer,Bauer,Hader,2:45,10621.0
26,"Friday, Apr 30",MIL,LAD,3.0,1.0,9.0,Peralta,Uceta,Hader,2:44,12044.0
